,Name1,GHR-webpage1,frequency1,Description1,,Inheritance-pattern1,,Related-gene-list1,,,Synonym-list1,Db-key-list1,key1,reviewed1,published,,,,
,,,,,"communication), schizophrenia, aggression, and self-injury. About half of",,,,,,,Orphanet,261272,,,,,,
,,,,,"affected individuals have an unusually small head (microcephaly).",,,,,,,,,,,,,,
,,,,html:p,"Less commonly, 17q12 duplications have been associated with abnormalities of the",,,,,,,,,,,,,,
,,,,,"eyes, heart, kidneys, and brain. Some individuals with this chromosomal change",,,,,,,,,,,,,,
,,,,,"have subtle differences in facial features, although these are not consistent.",,,,,,,,,,,,,,
11,"19p13.13 deletion syndrome",https://ghr.nlm.nih.gov/condition/19p1313-deletion-syndrome,"This condition appears to be rare. About 10 affected individuals have been",html,,code,memo,related-gene,gene-symbol,ghr-page,"19p13.13 microdeletion",db,key,2016-06,2017-12-29,,,,
,,,"described in the medical literature.",html:p,"19p13.13 deletion syndrome is a condition that results from a chromosomal change",n,"not inherited",,BEST2,https://ghr.nlm.nih.gov/gene/BEST2,"19p13.13 microdeletion syndrome",GTR,C3150894,,,,,,
,,,,,"in which a small piece of chromosome 19 is deleted in each cell. The deletion",,,related-gene,gene-symbol,ghr-page,"chromosome 19p13.13 deletion syndrome",db,key,,,,,,
,,,,,"occurs on the short (p) arm of the chromosome at a position designated p13.13.",,,,CACNA1A,https://ghr.nlm.nih.gov/gene/CACNA1A,,MeSH,D025063,,,,,,
,,,,html:p,"Features commonly associated with this chromosomal change include an unusually",,,related-gene,gene-symbol,ghr-page,,db,key,,,,,,
,,,,,"large head size (macrocephaly), tall stature, and intellectual disability that",,,,CALR,https://ghr.nlm.nih.gov/gene/CALR,,OMIM,613638,,,,,,
,,,,,"is usually moderate in severity. Many affected individuals have significantly",,,related-gene,gene-symbol,ghr-page,,db,key,,,,,,
,,,,*,"delayed development, including speech, and children may speak few or no words.",,,,MAST1,https://ghr.nlm.nih.gov/gene/MAST1,,Orphanet,357001,,,,,,
,,,,,"Weak muscle tone (hypotonia) and problems with coordinating muscle movement",,,related-gene,gene-symbol,ghr-page,,,,,,,,,
,,,,,"(ataxia) contribute to delays in gross motor skills (such as sitting and",,,,NFIX,https://ghr.nlm.nih.gov/gene/NFIX,,,,,,,,,
,,,,,"walking) and fine motor skills (such as holding a pencil).",,,related-chromosome,name,ghr-page,,,,,,,,,
,,,,html:p,"Other signs and symptoms that can occur with 19p13.13 deletion syndrome include",,,,19,https://ghr.nlm.nih.gov/chromosome/19,,,,,,,,,
,,,,,"seizures, abnormalities of brain structure, and subtle differences in facial",,,,,,,,,,,,,,
,,,,,"features (such as a prominent forehead). Many affected individuals have problems",,,,,,,,,,,,,,
,,,,,"with feeding and digestion, including constipation, diarrhea, vomiting, and",,,,,,,,,,,,,,
,,,,,"abdominal pain. Eye problems that can impair vision are also common. These",,,,,,,,,,,,,,
,,,,,"include eyes that do not point in the same direction (strabismus) and",,,,,,,,,,,,,,
,,,,,"underdevelopment of the optic nerves, which carry visual information from the",,,,,,,,,,,,,,
,,,,,"eyes to the brain.",,,,,,,,,,,,,,
,,,,html:p,"The signs and symptoms of 19p13.13 deletion syndrome vary among affected",,,,,,,,,,,,,,
,,,,,"individuals. In part, this variation occurs because the size of the deletion,",,,,,,,,,,,,,,
,,,,,"and the number of genes it affects, varies from person to person.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,"1p31.3 del",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
12,"1p36 deletion syndrome",https://ghr.nlm.nih.gov/condition/1p36-deletion-syndrome,"1p36 deletion syndrome is believed to affect between 1 in 5,000 and 1 in",html,,code,memo,related-chromosome,name,ghr-page,"chromosome 1p36 deletion syndrome",db,key,2014-01,2017-12-29,,,,
,,,"10,000 newborns. However, this may be an underestimate because some affected",html:p,"1p36 deletion syndrome is a disorder that typically causes severe intellectual",n,"not inherited",,1,https://ghr.nlm.nih.gov/chromosome/1,"distal monosomy 1p36",GTR,C1842870,,,,,,
,,,"individuals are likely never diagnosed.",,"disability. Most affected individuals do not speak, or speak only a few words.",,,,,,"monosomy 1p36 syndrome",db,key,,,,,,
,,,,,"They may have temper tantrums, bite themselves, or exhibit other behavior",,,,,,,GeneReviews,del1p36,,,,,,
,,,,,"problems. Most have structural abnormalities of the brain, and seizures occur in",,,,,,,db,key,,,,,,
,,,,,"more than half of individuals with this disorder. Affected individuals usually",,,,,,,MeSH,D025063,,,,,,
,,,,,"have weak muscle tone (hypotonia) and swallowing difficulties (dysphagia).",,,,,,,db,key,,,,,,
,,,,html:p,"People with 1p36 deletion syndrome have a small head that is also unusually",,,,,,,OMIM,607872,,,,,,
,,,,,"short and wide in proportion to its size (microbrachycephaly). Affected",,,,,,,db,key,,,,,,
,,,,,"individuals also have distinctive facial features including deep-set eyes with",,,,,,,Orphanet,1606,,,,,,
,,,,,"straight eyebrows; a sunken appearance of the middle of the face (midface",,,,,,,db,key,,,,,,
,,,,,"hypoplasia); a broad, flat nose; a long area between the nose and mouth",,,,,,,"SNOMED CT",699306003,,,,,,
,,,,,"(philtrum); a pointed chin; and ears that are low-set, rotated backwards, and",,,,,,,,,,,,,,
,,,,,"abnormally shaped.",,,,,,,,,,,,,,
,,,,html:p,"People with 1p36 deletion syndrome may have vision or hearing problems. Some",,,,,,,,,,,,,,
,,,,,"have abnormalities of the skeleton, heart, gastrointestinal system, kidneys, or",,,,,,,,,,,,,,
,,,,,genitalia.,,,,,,,,,,,,,,
13,"1q21.1 microdeletion",https://ghr.nlm.nih.gov/condition/1q211-microdeletion,"1q21.1 microdeletion is a rare chromosomal change; only a few dozen",html,,code,memo,related-gene,gene-symbol,ghr-page,"1q21.1 contiguous gene deletion",db,key,2012-10,2017-12-29,,,,
,,,"individuals with this deletion have been reported in the medical literature.",html:p,"1q21.1 microdeletion is a chromosomal change in which a small piece of",ad,"autosomal dominant",,ACP6,https://ghr.nlm.nih.gov/gene/ACP6,"1q21.1 deletion",GTR,C2675897,,,,,,
,,,,,"chromosome 1 is deleted in each cell. The deletion occurs on the long (q) arm of",,,related-gene,gene-symbol,ghr-page,"chromosome 1q21.1 deletion syndrome",db,key,,,,,,
,,,,,"the chromosome in a region designated q21.1. This chromosomal change increases",,,,BCL9,https://ghr.nlm.nih.gov/gene/BCL9,"chromosome 1q21.1 deletion syndrome, 1.35-Mb",GeneReviews,mdel1q21_1,,,,,,
,,,,,"the risk of delayed development, intellectual disability, physical",,,related-gene,gene-symbol,ghr-page,,db,key,,,,,,
,,,,,"abnormalities, and neurological and psychiatric problems. However, some people",,,,CHD1L,https://ghr.nlm.nih.gov/gene/CHD1L,,MeSH,D025063,,,,,,
,,,,,"with a 1q21.1 microdeletion do not appear to have any associated features.",,,related-gene,gene-symbol,ghr-page,,db,key,,,,,,
,,,,html:p,"About 75 percent of all children with a 1q21.1 microdeletion have delayed",,,,FMO5,https://ghr.nlm.nih.gov/gene/FMO5,,OMIM,612474,,,,,,
,,,,,"development, particularly affecting the development of motor skills such as",,,related-gene,gene-symbol,ghr-page,,db,key,,,,,,
,,,,,"sitting, standing, and walking. The intellectual disability and learning",,,,GJA5,https://ghr.nlm.nih.gov/gene/GJA5,,Orphanet,250989,,,,,,
,,,,,"problems associated with this genetic change are usually mild.",,,related-gene,gene-symbol,ghr-page,,db,key,,,,,,
,,,,html:p,"Distinctive facial features can also be associated with 1q21.1 microdeletions.",,,,GJA8,https://ghr.nlm.nih.gov/gene/GJA8,,"SNOMED CT",699305004,,,,,,
,,,,,"The changes are usually subtle and can include a prominent forehead; a large,",,,related-gene,gene-symbol,ghr-page,,,,,,,,,
,,,,,"rounded nasal tip; a long space between the nose and upper lip (philtrum); and a",,,,GPR89B,https://ghr.nlm.nih.gov/gene/GPR89B,,,,,,,,,
,,,,,"high, arched roof of the mouth (palate). Other common signs and symptoms of",,,related-gene,gene-symbol,ghr-page,,,,,,,,,
,,,,,"1q21.1 microdeletions include an unusually small head (microcephaly), short",,,,HYDIN,https://ghr.nlm.nih.gov/gene/HYDIN,,,,,,,,,
,,,,,"stature, and eye problems such as clouding of the lenses (cataracts). Less",,,related-gene,gene-symbol,ghr-page,,,,,,,,,
,,,,,"frequently, 1q21.1 microdeletions are associated with heart defects,",,,,PRKAB2,https://ghr.nlm.nih.gov/gene/PRKAB2,,,,,,,,,
,,,,,"abnormalities of the genitalia or urinary system, bone abnormalities",,,related-chromosome,name,ghr-page,,,,,,,,,
,,,,,"(particularly in the hands and feet), and hearing loss.",,,,1,https://ghr.nlm.nih.gov/chromosome/1,,,,,,,,,
,,,,html:p,"Neurological problems that have been reported in people with a 1q21.1",,,,,,,,,,,,,,
,,,,,"microdeletion include seizures and weak muscle tone (hypotonia). Psychiatric or",,,,,,,,,,,,,,
,,,,,"behavioral problems affect a small percentage of people with this genetic",,,,,,,,,,,,,,
,,,,,"change. These include developmental conditions called autism spectrum disorders",,,,,,,,,,,,,,
,,,,,"that affect communication and social interaction, attention deficit",,,,,,,,,,,,,,
,,,,,"hyperactivity disorder (ADHD), and sleep disturbances. Studies suggest that",,,,,,,,,,,,,,
,,,,,"deletions of genetic material from the 1q21.1 region may also be risk factors",,,,,,,,,,,,,,
,,,,,"for schizophrenia.",,,,,,,,,,,,,,
,,,,html:p,"Some people with a 1q21.1 microdeletion do not have any of the intellectual,",,,,,,,,,,,,,,
,,,,,"physical, or psychiatric features described above. In these individuals, the",,,,,,,,,,,,,,
,,,,,"microdeletion is often detected when they undergo genetic testing because they",,,,,,,,,,,,,,
,,,,,"have a relative with the chromosomal change. It is unknown why 1q21.1",,,,,,,,,,,,,,
,,,,,"microdeletions cause cognitive and physical changes in some individuals but few",,,,,,,,,,,,,,
,,,,,"or no health problems in others, even within the same family.",,,,,,,,,,,,,,
14,"1q21.1 microduplication",https://ghr.nlm.nih.gov/condition/1q211-microduplication,"1q21.1 microduplications occur in about 3 in 10,000 individuals in the",html,,code,memo,related-chromosome,name,ghr-page,"1q21.1 duplication",db,key,2014-11,2017-12-29,,,,
,,,"general population. Studies suggest that these chromosomal changes are 15 to 20",html:p,"1q21.1 microduplication is a chromosomal change in which a small amount of",ad,"autosomal dominant",,1,https://ghr.nlm.nih.gov/chromosome/1,"1q21.1 duplication syndrome",GTR,C2675891,,,,,,
,,,"times more common in people with schizophrenia or tetralogy of Fallot. Many",,"genetic material on chromosome 1 is abnormally copied (duplicated). The",,,,,,,db,key,,,,,,
,,,"people with 1q21.1 microduplications are likely never diagnosed because the",,"duplication occurs on the long (q) arm of the chromosome at a location",,,,,,,MeSH,D025063,,,,,,
,,,"features of this condition can have a variety of causes. In addition, some",,"designated q21.1.",,,,,,,db,key,,,,,,
,,,"people with this chromosomal change have no related health or developmental",html:p,"Some people with a 1q21.1 microduplication have developmental delay and",,,,,,,OMIM,612475,,,,,,
,,,"problems that would bring them to medical attention.",,"intellectual disability that is typically mild to moderate. Individuals with",,,,,,,db,key,,,,,,
,,,,,"this condition can also have features of autism spectrum disorders. These",,,,,,,Orphanet,250994,,,,,,
,,,,,"disorders are characterized by impaired communication and socialization skills,",,,,,,,db,key,,,,,,
,,,,,"as well as delayed development of speech and language. Expressive language",,,,,,,"SNOMED CT",79649006,,,,,,
,,,,,"skills (vocabulary and the production of speech) tend to be more impaired than",,,,,,,,,,,,,,
,,,,,"receptive language skills (the ability to understand speech) in affected",,,,,,,,,,,,,,
,,,,,"individuals. In childhood, 1q21.1 microduplications may also be associated with",,,,,,,,,,,,,,
,,,,,"an increased risk of attention deficit hyperactivity disorder and other",,,,,,,,,,,,,,
,,,,,"behavioral problems. Psychiatric disorders such as schizophrenia or mood",,,,,,,,,,,,,,
,,,,,"disorders such as anxiety or depression occur in some affected individuals,",,,,,,,,,,,,,,
,,,,,"usually during adulthood. Rarely, recurrent seizures (epilepsy) occur in people",,,,,,,,,,,,,,
,,,,,"with a 1q21.1 microduplication.",,,,,,,,,,,,,,
,,,,html:p,"Some individuals with a 1q21.1 microduplication are born with malformations of",,,,,,,,,,,,,,
,,,,,"the heart, including a particular combination of heart defects known as",,,,,,,,,,,,,,
,,,,,"tetralogy of Fallot. Less commonly, other physical malformations such as the",,,,,,,,,,,,,,
,,,,,"urethra opening on the underside of the penis (hypospadias) in males, inward-",,,,,,,,,,,,,,
,,,,,"and upward-turning feet (clubfeet), or misalignment of the hip joint (hip",,,,,,,,,,,,,,
,,,,,"dysplasia) are present at birth. Individuals with a 1q21.1 microduplication may",,,,,,,,,,,,,,
,,,,,"also have a larger than average head size or taller than average adult stature.",,,,,,,,,,,,,,
,,,,,"Some have slightly unusual facial features such as wide-set eyes or low-set",,,,,,,,,,,,,,
,,,,,"ears. As adults, individuals with a 1q21.1 microduplication may be prone to",,,,,,,,,,,,,,
,,,,,"develop cysts, swollen and knotted (varicose) veins, or carpal tunnel syndrome,",,,,,,,,,,,,,,
,,,,,"which is characterized by numbness, tingling, and weakness in the hands and",,,,,,,,,,,,,,
,,,,,"fingers. However, there is no particular pattern of physical abnormalities that",,,,,,,,,,,,,,
,,,,,"characterizes 1q21.1 microduplications. Signs and symptoms related to the",,,,,,,,,,,,,,
,,,,,"chromosomal change vary even among affected members of the same family. Some",,,,,,,,,,,,,,
,,,,,"people with the duplication have no identified physical, intellectual, or",,,,,,,,,,,,,,
,,,,,"behavioral abnormalities.",,,,,,,,,,,,,,
15,"2-hydroxyglutaric aciduria",https://ghr.nlm.nih.gov/condition/2-hydroxyglutaric-aciduria,"2-hydroxyglutaric aciduria is a rare disorder. D-2-HGA and L-2-HGA have",html,,code,memo,related-gene,gene-symbol,ghr-page,2-HGA,db,key,2013-08,2017-12-29,,,,
,"( neurometabolic disorder )",,"each been reported to affect fewer than 150 individuals worldwide. Combined",html:p,"2-hydroxyglutaric aciduria is a condition that causes progressive damage to the",ad,"autosomal dominant",,D2HGDH,https://ghr.nlm.nih.gov/gene/D2HGDH,,GTR,C1855995,,,,,,
,,,"D,L-2-HGA appears to be even rarer, with only about a dozen reported cases.",,"brain. The major types of this disorder are called D-2-hydroxyglutaric aciduria",code,memo,related-gene,gene-symbol,ghr-page,,db,key,,,,,,
,,,,,"(D-2-HGA), L-2-hydroxyglutaric aciduria (L-2-HGA), and combined",ar,"autosomal recessive",,IDH2,https://ghr.nlm.nih.gov/gene/IDH2,,GTR,C2746066,,,,,,
,,,,,"D,L-2-hydroxyglutaric aciduria (D,L-2-HGA).",,,related-gene,gene-symbol,ghr-page,,db,key,,,,,,
,,,,html:p,"The main features of D-2-HGA are delayed development, seizures, weak muscle tone",,,,L2HGDH,https://ghr.nlm.nih.gov/gene/L2HGDH,,GTR,C3150909,,,,,,
,,,,,"(hypotonia), and abnormalities in the largest part of the brain (the cerebrum),",,,related-gene,gene-symbol,ghr-page,,db,key,,,,,,
,,,,,"which controls many important functions such as muscle movement, speech,",,,,SLC25A1,https://ghr.nlm.nih.gov/gene/SLC25A1,,GTR,C3152055,,,,,,
,,,,,"vision, thinking, emotion, and memory. Researchers have described two subtypes",,,,,,,db,key,,,,,,
,,,,,"of D-2-HGA, type I and type II. The two subtypes are distinguished by their",,,,,,,MeSH,D020739,,,,,,
